GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,fr.florobart.pmt.modules.tasks,TaskController,44,6,0,0,9,3,6,1,6,1
,fr.florobart.pmt.modules.tasks,Task,63,6,0,0,27,2,18,1,18,1
,fr.florobart.pmt.modules.tasks,TaskStatus,0,21,0,0,0,4,0,1,0,1
,fr.florobart.pmt.modules.tasks,TaskService,123,12,8,0,27,5,11,1,7,1
,fr.florobart.pmt,PmtApplication,5,3,0,0,2,1,1,1,1,1
,fr.florobart.pmt.modules.users,UserController,46,6,0,0,10,3,6,1,6,1
,fr.florobart.pmt.modules.users,User,28,3,0,0,12,1,8,1,8,1
,fr.florobart.pmt.modules.users,UserLoginRequest,17,0,0,0,7,0,5,0,5,0
,fr.florobart.pmt.modules.users,UserService,80,6,4,0,17,3,10,1,8,1
,fr.florobart.pmt.modules.tasksHistory,TaskHistory,64,3,0,0,19,1,10,1,10,1
,fr.florobart.pmt.modules.tasksHistory,TaskHistoryController,5,6,0,0,1,3,1,1,1,1
,fr.florobart.pmt.core.error,GlobalExceptionHandler,14,3,0,0,5,1,1,1,1,1
,fr.florobart.pmt.modules.projects,Project,35,3,0,0,15,1,10,1,10,1
,fr.florobart.pmt.modules.projects,ProjectController,37,6,0,0,8,3,5,1,5,1
,fr.florobart.pmt.modules.projects,ProjectService,89,9,2,0,19,4,7,1,6,1
,fr.florobart.pmt.core.config,WebConfig,0,47,0,0,0,7,0,2,0,2
,fr.florobart.pmt.modules,Healthcheck,2,3,0,0,1,1,1,1,1,1
,fr.florobart.pmt.modules.usersProjects,UserProjectId,73,0,10,0,19,0,13,0,8,0
,fr.florobart.pmt.modules.usersProjects,UserProjectService,103,9,6,0,18,4,11,1,8,1
,fr.florobart.pmt.modules.usersProjects,Role,0,21,0,0,0,4,0,1,0,1
,fr.florobart.pmt.modules.usersProjects,UserProject,36,0,0,0,13,0,6,0,6,0
,fr.florobart.pmt.modules.usersProjects,UserProjectController,44,6,0,0,8,3,6,1,6,1
